Name,Longitude,Latitude,Catenary
-71.0986135186152_42.32525050375276,-71.09861352,42.3252505,1
-71.1537173899704_42.160718367371224,-71.15371739,42.16071837,1
-71.28022732996062_41.94747480732387,-71.28022733,41.94747481,1
-71.41494832260199_41.84486643575766,-71.41494832,41.84486644,1
-71.42193732420859_41.78370544868109,-71.42193732,41.78370545,1
-71.53183238223323_41.50233640502513,-71.53183238,41.50233641,1
-71.759589558621_41.39551499727048,-71.75958956,41.395515,0
-71.89634019493381_41.33708855015246,-71.89634019,41.33708855,0
-71.98181954479602_41.33519831831947,-71.98181954,41.33519832,1
-72.09354912881916_41.36237155175857,-72.09354913,41.36237155,0
-72.15008211199356_41.32249256096353,-72.15008211,41.32249256,1
-72.24221949806055_41.30048984618935,-72.2422195,41.30048985,1
-72.3724588469534_41.30241889119133,-72.37245885,41.30241889,1
-72.56479320320518_41.28957481199799,-72.5647932,41.28957481,1
-72.76932288024334_41.27447614719174,-72.76932288,41.27447615,0
-72.87944587948311_41.29104059205291,-72.87944588,41.29104059,0
-72.9193368659434_41.30860058965865,-72.91933687,41.30860059,1
-73.06155049796044_41.221530759240515,-73.0615505,41.22153076,1
-73.18421578687521_41.18481262353422,-73.18421579,41.18481262,1
-73.30079375275989_41.12732663865202,-73.30079375,41.12732664,1
-73.47672269979729_41.07633765374135,-73.4767227,41.07633765,1
-73.57142867109552_41.0324096657956,-73.57142867,41.03240967,1
-73.67603972812617_40.987914705102376,-73.67603973,40.98791471,1
-73.81111014115855_40.872686475492145,-73.81111014,40.87268648,1
-73.89912684901607_40.81181602973708,-73.89912685,40.81181603,1
-73.90588980395447_40.75357536924244,-73.9058898,40.75357537,1
-74.01302313806347_40.75880910879954,-74.01302314,40.75880911,0
-74.16542097674478_40.73351820117424,-74.16542098,40.7335182,0
-74.27607451739811_40.606814358018596,-74.27607452,40.60681436,1
-74.39153143970714_40.53111979254617,-74.39153144,40.53111979,0
-74.62562757340571_40.31483908382447,-74.62562757,40.31483908,1
-74.79663327657903_40.158923241499586,-74.79663328,40.15892324,0
-74.96935211371157_40.06380706439131,-74.96935211,40.06380706,0
-75.09733638940736_40.00139586999434,-75.09733639,40.00139587,1
-75.18182727804667_39.959936375521,-75.18182728,39.95993638,0
-75.25847095867438_39.911839453555814,-75.25847096,39.91183945,1
-75.38156816656091_39.83892496508793,-75.38156817,39.83892497,0
-75.52270312943254_39.747405988535604,-75.52270313,39.74740599,0
-75.66087408754952_39.69872700325084,-75.66087409,39.698727,0
-75.89946081131852_39.603648663538195,-75.89946081,39.60364866,1
-76.08338495842067_39.555131717354186,-76.08338496,39.55513172,1
-76.22188225561575_39.44702359015968,-76.22188226,39.44702359,0
-76.4656999654039_39.32873695738844,-76.46569997,39.32873696,0
-76.55533488763446_39.29710081507436,-76.55533489,39.29710082,0
-76.6255888085271_39.310440116485665,-76.62558881,39.31044012,0
-76.69100087920863_39.2435821762515,-76.69100088,39.24358218,0
-76.70293769090738_39.09522698817625,-76.70293769,39.09522699,0
-76.84310091379686_38.97321006134433,-76.84310091,38.97321006,1
-76.93953814346345_38.91679299736214,-76.93953814,38.916793,0
-77.01421252564722_38.88359551476731,-77.01421253,38.88359551,0
