Name,Longitude,Latitude,Catenary
-108.5558964471134_39.062626187654075,-108.5558964,39.06262619,0
-108.90492901655047_39.21417892171357,-108.904929,39.21417892,0
-109.08191078460926_39.11636633251912,-109.0819108,39.11636633,0
-109.33648798037302_38.9670949527571,-109.336488,38.96709495,0
-109.6837674471089_38.957469825659096,-109.6837674,38.95746983,0
-108.27154640854934_39.238337585274735,-108.2715464,39.23833759,0
-108.06713462640907_39.43454691118048,-108.0671346,39.43454691,0
-107.53616333666642_39.570970782161545,-107.5361633,39.57097078,0
-107.30219253322133_39.56071240674197,-107.3021925,39.56071241,0
-107.14458641793124_39.6099787488751,-107.1445864,39.60997875,0
-104.86005990610704_39.8755205529726,-104.8600599,39.87552055,0
-103.62316097296606_40.253904672602424,-103.623161,40.25390467,0
-102.30961857299637_40.09673039685676,-102.3096186,40.0967304,0
-101.36000210649355_40.12492302725648,-101.3600021,40.12492303,0
-100.29962449104787_40.24987626913363,-100.2996245,40.24987627,0
-99.46304431774342_40.3747642255317,-99.46304432,40.37476423,0
-98.03239007323423_40.60895678181053,-98.03239007,40.60895678,0
-96.83534879546319_40.759305884068425,-96.8353488,40.75930588,0
-106.99177130730887_39.78488782065313,-106.9917713,39.78488782,0
-106.87925314529839_39.88138682202574,-106.8792531,39.88138682,0
-106.71146005293969_39.8981984766921,-106.7114601,39.89819848,0
-106.57953298432533_39.921676725000566,-106.579533,39.92167673,0
-106.49191626302617_40.00234411462918,-106.4919163,40.00234411,0
-106.16010258658206_40.05235462049324,-106.1601026,40.05235462,0
-105.87778765344639_40.02932460446699,-105.8777877,40.0293246,0
-105.69467221018719_39.89595391916001,-105.6946722,39.89595392,0
-105.40339477378375_39.931524584992275,-105.4033948,39.93152458,0
-105.28287980462247_39.90169957945747,-105.2828798,39.90169958,0
-105.00575100731878_39.803310197389045,-105.005751,39.8033102,0
-122.22071761149404_38.055948702404656,-122.2207176,38.0559487,0
-122.33250411277356_38.000732913611756,-122.3325041,38.00073291,0
-96.36877119948359_41.03159779330509,-96.3687712,41.03159779,0
-95.9609406787322_41.22161831085978,-95.96094068,41.22161831,0
-121.91457273913484_38.34470053216072,-121.9145727,38.34470053,0
-121.44828369190594_38.59853707233454,-121.4482837,38.59853707,0
-111.54844955372651_40.046259899390115,-111.5484496,40.0462599,0
-111.30232032420209_39.95775509288641,-111.3023203,39.95775509,0
-111.16620080558033_39.92308465066556,-111.1662008,39.92308465,0
-110.97908193851075_39.83842494897889,-110.9790819,39.83842495,0
-110.91021759368333_39.77325700205487,-110.9102176,39.773257,0
-110.858456469383_39.67546488196095,-110.8584565,39.67546488,0
-110.64578868109817_39.49500901513386,-110.6457887,39.49500902,0
-110.45241773548385_39.38483901508385,-110.4524177,39.38483902,0
-110.34085497489717_39.251974891883975,-110.340855,39.25197489,0
-110.11628885245214_38.987323039499884,-110.1162889,38.98732304,0
-109.79770931038563_38.95434987765918,-109.7977093,38.95434988,0
-92.83673384737095_41.030623591650276,-92.83673385,41.03062359,0
-92.95182521644479_40.973875958608424,-92.95182522,40.97387596,0
-92.39133552092626_41.00741727782488,-92.39133552,41.00741728,0
-91.26922225747295_40.83345135865761,-91.26922226,40.83345136,0
-90.77391144346291_40.85980049795576,-90.77391144,40.8598005,0
-89.72986969684882_41.3029893632033,-89.7298697,41.30298936,0
-88.5349851159715_41.66287122898228,-88.53498512,41.66287123,0
-111.65660775867518_40.225227800753686,-111.6566078,40.2252278,0
-95.92604200220829_41.06986577725572,-95.926042,41.06986578,0
-95.5251771142897_41.02047875939506,-95.52517711,41.02047876,0
-94.73185979518698_40.98747294603215,-94.7318598,40.98747295,0
-93.91551254770665_41.05526165326071,-93.91551255,41.05526165,0
-121.14102581679117_38.87703739636592,-121.1410258,38.8770374,0
-121.08064022795942_38.89589824616126,-121.0806402,38.89589825,0
-121.0526885451245_38.939045896139405,-121.0526885,38.9390459,0
-120.9966518541951_38.996792846702775,-120.9966519,38.99679285,0
-120.96877585082959_39.06648283864642,-120.9687759,39.06648284,0
-120.93071684813556_39.12534383114631,-120.9307168,39.12534383,0
-120.85440205690304_39.18197057953434,-120.8544021,39.18197058,0
-120.76155659537291_39.21305143358436,-120.7615566,39.21305143,0
-120.70312459165419_39.25182950176131,-120.7031246,39.2518295,0
-120.58810003567791_39.32928671317408,-120.5881,39.32928671,0
-111.90933182163594_40.761883385078875,-111.9093318,40.76188339,0
-111.85521132164922_40.385088001595825,-111.8552113,40.385088,0
-120.00077167355472_39.46984784781678,-120.0007717,39.46984785,0
-120.07399798767018_39.37609200089486,-120.073998,39.376092,0
-120.23172936045025_39.31273322909307,-120.2317294,39.31273323,0
-120.37356073775432_39.32298105007653,-120.3735607,39.32298105,0
-120.52392389231713_39.29658778470595,-120.5239239,39.29658778,0
-119.93187995975555_39.50887771999915,-119.93188,39.50887772,0
-119.64457106198677_39.512867359942504,-119.6445711,39.51286736,0
-119.34010304512398_39.5958926660644,-119.340103,39.59589267,0
-118.82786880389942_39.68640553289973,-118.8278688,39.68640553,0
-118.64180248206843_40.06603954597316,-118.6418025,40.06603955,0
-118.29054198921716_40.51501287204727,-118.290542,40.51501287,0
-117.75581262443286_40.937337344285936,-117.7558126,40.93733734,0
-116.12147500212139_40.697116046690844,-116.121475,40.69711605,0
-116.23368245214645_40.5798953266971,-116.2336825,40.57989533,0
-116.54431832869942_40.71062480737808,-116.5443183,40.71062481,0
-117.34019355565792_41.00416848040676,-117.3401936,41.00416848,0
-116.09194415288219_40.71922319357724,-116.0919442,40.71922319,0
-115.73021668078319_40.85796371137473,-115.7302167,40.85796371,0
-116.08394492656835_40.72113874971716,-116.0839449,40.72113875,0
-115.76661239882976_40.824050109250145,-115.7666124,40.82405011,0
-115.26450377704492_41.067276287486735,-115.2645038,41.06727629,0
-115.1135220129331_41.13108163723696,-115.113522,41.13108164,0
-114.70222097055745_40.816113812578365,-114.702221,40.81611381,0
-114.2834487702195_40.92305413526336,-114.2834488,40.92305414,0
-114.22165979911492_40.80381414243303,-114.2216598,40.80381414,0
-113.64555941055767_40.73049551099532,-113.6455594,40.73049551,0
-112.87368449190963_40.837948197277065,-112.8736845,40.8379482,0
-117.55543432552898_41.01708232033296,-117.5554343,41.01708232,0
-116.94394083490198_40.650109873710086,-116.9439408,40.65010987,0
-116.55322605359947_40.69910414786181,-116.5532261,40.69910415,0
-116.27842444444724_40.57949032993372,-116.2784244,40.57949033,0
