Name,Longitude,Latitude,Catenary
-104.731949563008_39.8367816516765,-104.7319496,39.83678165,1
-104.739773865134_39.8294064251057,-104.7397739,39.82940643,1
-104.776118952483_39.8273629960361,-104.776119,39.827363,1
-104.787524175553_39.7866594856642,-104.7875242,39.78665949,1
-104.793074695928_39.7566259201284,-104.7930747,39.75662592,1
-104.81910240796_39.7039741935418,-104.8191024,39.70397419,1
-104.824294305392_39.7326468202963,-104.8242943,39.73264682,0
-104.824391570324_39.7299317193471,-104.8243916,39.72993172,0
-104.826001979351_39.7166977141418,-104.826002,39.71669771,1
-104.82607603691_39.7180140538015,-104.826076,39.71801405,1
-104.826675555322_39.7392280340142,-104.8266756,39.73922803,1
-104.827941404985_39.6721936842874,-104.8279414,39.67219368,1
-104.827987182069_39.7038966497982,-104.8279872,39.70389665,1
-104.828174629302_39.6716890189975,-104.8281746,39.67168902,1
-104.828552004922_39.6898460040828,-104.828552,39.689846,0
-104.831858756592_39.7519798967312,-104.8318588,39.7519799,1
-104.831955844378_39.7520964362027,-104.8319558,39.75209644,1
-104.832799234646_39.7657612068107,-104.8327992,39.76576121,1
-104.833501871525_39.7540803579662,-104.8335019,39.75408036,1
-104.837165919848_39.6615283313022,-104.8371659,39.66152833,1
-104.837966327741_39.6611899451988,-104.8379663,39.66118995,1
-104.844460973983_39.7670975664373,-104.844461,39.76709757,1
-104.846666122456_39.7554050775234,-104.8466661,39.75540508,1
-104.847207490501_39.7562657065212,-104.8472075,39.75626571,0
-104.847519958337_39.7664633289307,-104.84752,39.76646333,0
-104.863203117942_39.5284582212049,-104.8632031,39.52845822,1
-104.865441855775_39.7687013714991,-104.8654419,39.76870137,1
-104.869181349074_39.5419365057136,-104.8691813,39.54193651,1
-104.871025098069_39.5567016143816,-104.8710251,39.55670161,0
-104.872393928745_39.563547904778,-104.8723939,39.5635479,1
-104.872480929057_39.5639940944802,-104.8724809,39.56399409,0
-104.872638243932_39.6452407571259,-104.8726382,39.64524076,1
-104.87303039361_39.5657739981097,-104.8730304,39.565774,0
-104.877314844126_39.5798382226475,-104.8773148,39.57983822,0
-104.87758154103_39.5800303351448,-104.8775815,39.58003034,1
-104.878077023841_39.5814157835242,-104.878077,39.58141578,1
-104.879245412524_39.5843439900755,-104.8792454,39.58434399,1
-104.881084681959_39.641449508662,-104.8810847,39.64144951,0
-104.889296045655_39.6017587154775,-104.889296,39.60175872,0
-104.891335997137_39.6363557108734,-104.891336,39.63635571,0
-104.895358780187_39.6119523666001,-104.8953588,39.61195237,1
-104.897484329774_39.6159180730721,-104.8974843,39.61591807,1
-104.902675335731_39.624149236879,-104.9026753,39.62414924,1
-104.904221392583_39.6346715734122,-104.9042214,39.63467157,1
-104.906246046727_39.6306179921327,-104.906246,39.63061799,1
-104.907492558497_39.6347448350936,-104.9074926,39.63474484,0
-104.915717508682_39.6475075789525,-104.9157175,39.64750758,1
-104.916974449153_39.6498867268734,-104.9169744,39.64988673,1
-104.91784367026_39.6510506243557,-104.9178437,39.65105062,1
-104.926685483202_39.6678134002189,-104.9266855,39.6678134,1
-104.927363680634_39.6692956802415,-104.9273637,39.66929568,1
-104.933980528945_39.77629712982,-104.9339805,39.77629713,1
-104.934382732665_39.6786065863073,-104.9343827,39.67860659,1
-104.939635331991_39.6798876483771,-104.9396353,39.67988765,1
-104.939848974624_39.6799983426134,-104.939849,39.67999834,1
-104.940817456518_39.6807225051728,-104.9408175,39.68072251,0
-104.945315407027_39.6838211373077,-104.9453154,39.68382114,0
-104.946459678545_39.7758692108252,-104.9464597,39.77586921,1
-104.948528117723_39.8393464247333,-104.9485281,39.83934642,0
-104.95468753528_39.7958503598581,-104.9546875,39.79585036,0
-104.957176173497_39.7740824619342,-104.9571762,39.77408246,1
-104.960733273324_39.9205766010824,-104.9607333,39.9205766,1
-104.961101389374_39.8967290487304,-104.9611014,39.89672905,1
-104.961413463081_39.6842687689243,-104.9614135,39.68426877,1
-104.966828198435_39.6861039349931,-104.9668282,39.68610393,1
-104.967046381768_39.6861675450105,-104.9670464,39.68616755,1
-104.971298339626_39.7725748058909,-104.9712983,39.77257481,1
-104.97354011384_39.7584472286395,-104.9735401,39.75844723,0
-104.974687600194_39.6900689641875,-104.9746876,39.69006896,1
-104.981445079363_39.695535424836,-104.9814451,39.69553542,0
-104.986226708685_39.7484360841707,-104.9862267,39.74843608,0
-104.988756053633_39.7000048996806,-104.9887561,39.7000049,1
-104.989230537434_39.6999417603469,-104.9892305,39.69994176,1
-104.989557992533_39.697299093085,-104.989558,39.69729909,1
-104.989744516716_39.699383289919,-104.9897445,39.69938329,0
-104.990001178335_39.7001903705681,-104.9900012,39.70019037,1
-104.990614769056_39.7036761082625,-104.9906148,39.70367611,0
-104.990685021963_39.6855451901453,-104.990685,39.68554519,0
-104.990724329424_39.6855880226947,-104.9907243,39.68558802,0
-104.990845498203_39.7049796711451,-104.9908455,39.70497967,1
-104.992642284906_39.7635875031678,-104.9926423,39.7635875,1
-104.994397941366_39.7102434313894,-104.9943979,39.71024343,0
-104.995133314301_39.7443095487077,-104.9951333,39.74430955,0
-104.99572236813_39.7439424797212,-104.9957224,39.74394248,1
-104.996417867507_39.7635856521893,-104.9964179,39.76358565,1
-104.996542493174_39.7640834035144,-104.9965425,39.7640834,1
-104.996568084655_39.7970487744251,-104.9965681,39.79704877,1
-104.996625129254_39.7969353666718,-104.9966251,39.79693537,1
-104.99692818499_39.7788978961469,-104.9969282,39.7788979,1
-104.997110235463_39.7672749207954,-104.9971102,39.76727492,1
-104.997114915595_39.768829321758,-104.9971149,39.76882932,0
-104.997301825357_39.7994285158311,-104.9973018,39.79942852,1
-104.997886736573_39.8000354225927,-104.9978867,39.80003542,1
-104.998248729006_39.7429942760075,-104.9982487,39.74299428,0
-104.998687433623_39.755438087941,-104.9986874,39.75543809,1
-105.000778186832_39.7404873249761,-105.0007782,39.74048732,1
-105.001077801116_39.7404241917742,-105.0010778,39.74042419,1
-105.001090582883_39.7531488219317,-105.0010906,39.75314882,0
-105.002674370804_39.8038336273616,-105.0026744,39.80383363,1
-105.003853559922_39.7402843070258,-105.0038536,39.74028431,1
-105.004219854884_39.7402600179339,-105.0042199,39.74026002,1
-105.004403204633_39.7281721549325,-105.0044032,39.72817215,1
-105.006085197449_39.7337737392562,-105.0060852,39.73377374,1
-105.006386655513_39.7386326745777,-105.0063867,39.73863267,1
-105.006887144632_39.7402767435528,-105.0068871,39.74027674,1
-105.007064361886_39.740091329679,-105.0070644,39.74009133,1
-105.007234690332_39.7507098266879,-105.0072347,39.75070983,1
-105.00735985187_39.7505517299057,-105.0073599,39.75055173,0
-105.008768869628_39.63046981857,-105.0087689,39.63046982,0
-105.008783691191_39.7491611430299,-105.0087837,39.74916114,1
-105.00943589059_39.8070668352223,-105.0094359,39.80706684,1
-105.010634154147_39.8069796634921,-105.0106342,39.80697966,1
-105.012136563355_39.7433668114452,-105.0121366,39.74336681,1
-105.012324656301_39.7474617319483,-105.0123247,39.74746173,0
-105.012340691107_39.7434119934843,-105.0123407,39.74341199,0
-105.013133477291_39.6152232572632,-105.0131335,39.61522326,0
-105.013780724889_39.8132795377576,-105.0137807,39.81327954,1
-105.014207299478_39.8053146697398,-105.0142073,39.80531467,1
-105.014345613944_39.7442936616814,-105.0143456,39.74429366,1
-105.01503988385_39.8049188394422,-105.0150399,39.80491884,1
-105.015826303544_39.8160286740294,-105.0158263,39.81602867,1
-105.016559503236_39.8037741903486,-105.0165595,39.80377419,1
-105.021275352154_39.5939953711756,-105.0212754,39.59399537,1
-105.022947231524_39.5854727539852,-105.0229472,39.58547275,0
-105.025389099315_39.7366855899878,-105.0253891,39.73668559,1
-105.025424783399_39.7366248988429,-105.0254248,39.7366249,1
-105.025447427274_39.804103632424,-105.0254474,39.80410363,1
-105.03540436494_39.7353224012012,-105.0354044,39.7353224,1
-105.040555140889_39.80494305803,-105.0405551,39.80494306,1
-105.043557529172_39.8047762114683,-105.0435575,39.80477621,1
-105.044793941788_39.8045729383175,-105.0447939,39.80457294,1
-105.056883406249_39.8021231678889,-105.0568834,39.80212317,1
-105.058030032855_39.736319507076,-105.05803,39.73631951,1
-105.058364039819_39.7364129649416,-105.058364,39.73641296,1
-105.058808930253_39.8013465890687,-105.0588089,39.80134659,1
-105.07066087044_39.8002871792664,-105.0706609,39.80028718,1
-105.071783761249_39.8002483050153,-105.0717838,39.80024831,0
-105.080505493885_39.7365948004683,-105.0805055,39.7365948,1
-105.084296292954_39.7366386165646,-105.0842963,39.73663862,1
-105.094410698217_39.7956358238855,-105.0944107,39.79563582,1
-105.109152087679_39.7930094906785,-105.1091521,39.79300949,1
-105.109354896773_39.7929196270816,-105.1093549,39.79291963,1
-105.117412406366_39.7912577575131,-105.1174124,39.79125776,1
-105.125626501782_39.7245909858208,-105.1256265,39.72459099,0
-105.126714244218_39.7351324425942,-105.1267142,39.73513244,0
-105.126870675463_39.7350892618004,-105.1268707,39.73508926,1
-105.12755337818_39.7316321303214,-105.1275534,39.73163213,1
-105.130538251296_39.7204096356498,-105.1305383,39.72040964,1
-105.130738422881_39.7236596419501,-105.1307384,39.72365964,1
-105.160610946651_39.7249991450081,-105.1606109,39.72499915,0
-105.199574999062_39.7256896435149,-105.199575,39.72568964,0
