Name,Longitude,Latitude,Catenary
10.0131888_53.5214443,10.0131888,53.5214443,1
10.0465429_53.5869819,10.0465429,53.5869819,1
10.1325456_53.4974332,10.1325456,53.4974332,0
12.3158729_51.320704,12.3158729,51.320704,1
12.3881185_51.0477387,12.3881185,51.0477387,0
13.2513998_52.5120689,13.2513998,52.5120689,1
13.2539309_52.5116486,13.2539309,52.5116486,0
13.2854716_52.5155693,13.2854716,52.5155693,0
13.299315200000002_52.5303186,13.2993152,52.5303186,0
13.3066523_52.4056303,13.3066523,52.4056303,0
13.3119286_52.5055106,13.3119286,52.5055106,0
13.3286934_52.5048651,13.3286934,52.5048651,1
13.3437392_52.5198835,13.3437392,52.5198835,1
13.3613484_52.5402035,13.3613484,52.5402035,0
13.3645895_52.523550900000004,13.3645895,52.5235509,1
13.398810000000001_52.5518977,13.39881,52.5518977,0
13.4252941_52.545011,13.4252941,52.545011,0
13.4521104_52.4709229,13.4521104,52.4709229,0
13.4547391_52.5056453,13.4547391,52.5056453,0
13.4775695_52.4709127,13.4775695,52.4709127,0
13.4815773_52.626418,13.4815773,52.626418,0
13.4907366_52.6349259,13.4907366,52.6349259,0
13.5078955_52.5134274,13.5078955,52.5134274,0
13.5345885_52.5341174,13.5345885,52.5341174,0
13.566690900000001_52.4149166,13.5666909,52.4149166,0
13.577971_52.4101147,13.577971,52.4101147,0
13.5953718_52.4585206,13.5953718,52.4585206,0
13.6169941_52.3689019,13.6169941,52.3689019,1
13.6875735_52.519386,13.6875735,52.519386,0
13.7453737_52.4322964,13.7453737,52.4322964,1
7.723196500000001_48.2623131,7.7231965,48.2623131,0
7.9511538_47.827026,7.9511538,47.827026,0
8.3215726_49.03402020000001,8.3215726,49.0340202,0
8.389252_48.9419229,8.389252,48.9419229,0
8.3962703_48.9942357,8.3962703,48.9942357,0
8.4045086_48.9596842,8.4045086,48.9596842,0
8.5095016_49.007569,8.5095016,49.007569,0
8.526604_50.152623,8.526604,50.152623,0
8.54472_48.750207,8.54472,48.750207,0
8.5567516_49.5251262,8.5567516,49.5251262,0
8.5713255_49.46104,8.5713255,49.46104,0
8.5764313_48.7932684,8.5764313,48.7932684,0
8.6477545_49.9290727,8.6477545,49.9290727,1
8.7848204_50.1026825,8.7848204,50.1026825,1
8.8222406_54.5505073,8.8222406,54.5505073,0
9.7209083_53.5849215,9.7209083,53.5849215,0
9.8374552_53.6312733,9.8374552,53.6312733,1
9.8726493_53.473188,9.8726493,53.473188,0
9.8812167_53.0248377,9.8812167,53.0248377,0
9.9349599_53.5625094,9.9349599,53.5625094,0
