Name,Longitude,Latitude,Catenary
-117.91040193411446_34.13467863417091,-117.9104019,34.13467863,0
-117.92753120066565_34.12962536413221,-117.9275312,34.12962536,0
-117.96668931179072_34.132550459539395,-117.9666893,34.13255046,0
-117.99040536288051_34.13243703485112,-117.9904054,34.13243703,1
-117.99120183319282_34.13449350348269,-117.9912018,34.1344935,1
-117.99124413162227_34.134573948903366,-117.9912441,34.13457395,1
-117.99138900131467_34.13427676043347,-117.991389,34.13427676,1
-117.991604219868_34.13426232513817,-117.9916042,34.13426233,1
-117.99180070681261_34.13442129341215,-117.9918007,34.13442129,1
-117.99367632410208_34.132555646178226,-117.9936763,34.13255565,1
-117.99402740036774_34.13305829970913,-117.9940274,34.1330583,1
-117.99421223517433_34.13408573820937,-117.9942122,34.13408574,1
-117.99453312999545_34.132938610937245,-117.9945331,34.13293861,1
-117.99456246785836_34.13401794858395,-117.9945625,34.13401795,1
-117.99472563038138_34.132761879559204,-117.9947256,34.13276188,1
-117.99478435263619_34.13426472732903,-117.9947844,34.13426473,1
-118.00164377962031_34.13266448472111,-118.0016438,34.13266448,1
-118.01966252383588_34.137609814740145,-118.0196625,34.13760981,1
-118.05845981902372_34.14875413845652,-118.0584598,34.14875414,0
-118.07585464546777_34.148049556555705,-118.0758546,34.14804956,1
-118.07788597609913_34.147862967663336,-118.077886,34.14786297,1
-118.09542702390888_34.15252443850439,-118.095427,34.15252444,1
-118.10598896353852_34.15250649637401,-118.105989,34.1525065,1
-118.13092114617459_33.91306613574624,-118.1309211,33.91306614,1
-118.14535644609225_33.913074875485364,-118.1453564,33.91307488,1
-118.14586453181501_34.151497484682295,-118.1458645,34.15149748,0
-118.14646967887494_34.15042797793381,-118.1464697,34.15042798,1
-118.14812994346889_34.13900440087945,-118.1481299,34.1390044,1
-118.1488768730367_34.12598682789826,-118.1488769,34.12598683,1
-118.15050258691423_34.12449467468859,-118.1505026,34.12449467,1
-118.154603451505_34.11766259044093,-118.1546035,34.11766259,0
-118.16043768038057_34.11298878156801,-118.1604377,34.11298878,1
-118.16638409363301_34.03328628745084,-118.1663841,34.03328629,1
-118.16718077538404_34.112148301335544,-118.1671808,34.1121483,1
-118.17533273437117_34.11071261693533,-118.1753327,34.11071262,1
-118.18240353798832_33.91358124507612,-118.1824035,33.91358125,1
-118.18645449010201_34.11155675329895,-118.1864545,34.11155675,1
-118.18927693859264_33.80543461335504,-118.1892769,33.80543461,0
-118.18930627362826_33.80594537657331,-118.1893063,33.80594538,1
-118.18942116956545_33.77050327050745,-118.1894212,33.77050327,0
-118.19523197173184_34.03730333991302,-118.195232,34.03730334,1
-118.19610360247607_34.037699434375256,-118.1961036,34.03769943,1
-118.20006109720136_34.107486029668074,-118.2000611,34.10748603,0
-118.20419972020528_34.10460829908314,-118.2041997,34.1046083,1
-118.20468872472881_33.83355609696361,-118.2046887,33.8335561,0
-118.20507821835139_33.834180630270524,-118.2050782,33.83418063,0
-118.20645881377244_33.833987949962356,-118.2064588,33.83398795,1
-118.21063938258438_34.094212177824076,-118.2106394,34.09421218,1
-118.21145408155071_34.09265116682755,-118.2114541,34.09265117,0
-118.21639066081914_33.86104860244422,-118.2163907,33.8610486,1
-118.21741460458423_33.863397892450195,-118.2174146,33.86339789,1
-118.2200890425898_33.92920666586759,-118.220089,33.92920667,1
-118.22203294956955_34.047357462660855,-118.2220329,34.04735746,0
-118.22325775461498_34.07866476259054,-118.2232578,34.07866476,1
-118.22370481483311_34.07815841404299,-118.2237048,34.07815841,1
-118.22378844726144_33.88983196215704,-118.2237884,33.88983196,1
-118.22436974916054_33.899581500571685,-118.2243697,33.8995815,1
-118.22593438478378_33.92943881500066,-118.2259344,33.92943882,0
-118.22596040280852_34.072910037157065,-118.2259604,34.07291004,1
-118.22613262782322_34.07492387371611,-118.2261326,34.07492387,1
-118.22658844899011_34.07641317096855,-118.2265884,34.07641317,1
-118.22698360512084_34.07799464542893,-118.2269836,34.07799465,1
-118.22713125897097_34.071492496216415,-118.2271313,34.0714925,1
-118.22870305758286_34.07083824809969,-118.2287031,34.07083825,1
-118.22998568185662_34.041616723641205,-118.2299857,34.04161672,0
-118.23011491585044_34.04108562299987,-118.2301149,34.04108562,0
-118.23062947277361_34.04250961601003,-118.2306295,34.04250962,0
-118.23091360752586_34.04936705574636,-118.2309136,34.04936706,0
-118.23139253762601_34.04649003820486,-118.2313925,34.04649004,1
-118.23171539956768_33.91677155602837,-118.2317154,33.91677156,1
-118.23286962295774_33.92802903851969,-118.2328696,33.92802904,1
-118.23335679168257_34.06845104802129,-118.2333568,34.06845105,1
-118.23425484956837_34.05782707699411,-118.2342548,34.05782708,1
-118.23501736491335_34.06618401203868,-118.2350174,34.06618401,1
-118.23511232810209_34.05441519902169,-118.2351123,34.0544152,1
-118.2357395077375_34.0534224262467,-118.2357395,34.05342243,1
-118.23935985651194_34.058285476276126,-118.2393599,34.05828548,0
-118.24179697872654_33.936011834615144,-118.241797,33.93601183,1
-118.24304262463686_34.01891101946721,-118.2430426,34.01891102,1
-118.24338308025912_33.99524451148237,-118.2433831,33.99524451,1
-118.24345671444729_33.9900542367829,-118.2434567,33.99005424,0
-118.24424569039333_33.92863386184699,-118.2442457,33.92863386,0
-118.24454128829318_34.02111103875222,-118.2445413,34.02111104,0
-118.25260933198486_34.04799588759191,-118.2526093,34.04799589,0
-118.25814348493816_34.04821507419456,-118.2581435,34.04821507,0
-118.25863629843894_34.04870380692666,-118.2586363,34.04870381,0
-118.26574839472875_34.04107577144833,-118.2657484,34.04107577,0
-118.26620493573631_34.04068732597987,-118.2662049,34.04068733,0
-118.269709286498_34.03335114793915,-118.2697093,34.03335115,0
-118.27132240738524_34.053916768541576,-118.2713224,34.05391677,0
-118.27400343329131_34.02856448497508,-118.2740034,34.02856448,1
-118.27522441701971_33.928295211768585,-118.2752244,33.92829521,1
-118.27644357185164_34.024932540292525,-118.2764436,34.02493254,0
-118.27653568318615_33.928585428810685,-118.2765357,33.92858543,0
-118.27688147023949_34.057747284653836,-118.2768815,34.05774728,0
-118.2916031689273_34.0695305562798,-118.2916032,34.06953056,0
-118.29185613486624_34.06848790696381,-118.2918561,34.06848791,0
-118.29284220459799_34.06558141374774,-118.2928422,34.06558141,0
-118.29295894145723_34.10117597535928,-118.2929589,34.10117598,0
-118.29367690672058_34.10142966545881,-118.2936769,34.10142967,0
-118.29512902367632_34.10181974819955,-118.295129,34.10181975,0
-118.2962884829228_34.06243943895572,-118.2962885,34.06243944,0
-118.30790266369286_33.92578582881597,-118.3079027,33.92578583,1
-118.31311288713266_34.01835379132139,-118.3131129,34.01835379,1
-118.31779349627128_34.0188089427658,-118.3177935,34.01880894,0
-118.32864860548396_34.10155388927968,-118.3286486,34.10155389,0
-118.33166409457426_33.92492459418167,-118.3316641,33.92492459,1
-118.33641309238321_33.9253139367678,-118.3364131,33.92531394,1
-118.3370062461081_33.92556436799027,-118.3370062,33.92556437,1
-118.33969902646402_34.02326364638136,-118.339699,34.02326365,1
-118.34274124708968_34.02359485121069,-118.3427412,34.02359485,1
-118.34612528499743_34.102739828169696,-118.3461253,34.10273983,0
-118.3472986187191_34.10478898684855,-118.3472986,34.10478899,0
-118.35986944809271_34.02523666651978,-118.3598694,34.02523667,1
-118.36152583934815_33.93185042266341,-118.3615258,33.93185042,1
-118.3622037256695_34.14191786748499,-118.3622037,34.14191787,0
-118.36231570590509_34.14353136669596,-118.3623157,34.14353137,0
-118.36279861469106_34.14519860594108,-118.3627986,34.14519861,0
-118.36374836511692_34.13533775100515,-118.3637484,34.13533775,0
-118.37060722585396_34.02628002216372,-118.3706072,34.02628002,1
-118.3734876534796_33.89783432638703,-118.3734877,33.89783433,1
-118.37425893640737_33.897922574986595,-118.3742589,33.89792257,1
-118.37520404916505_33.89786358261633,-118.375204,33.89786358,1
-118.37614999827949_33.898228842282826,-118.37615,33.89822884,1
-118.37638661160553_33.89749375444677,-118.3763866,33.89749375,1
-118.37656069961398_33.89804182651225,-118.3765607,33.89804183,1
-118.3766472260114_34.026779009174085,-118.3766472,34.02677901,1
-118.37728446258508_33.897421774241415,-118.3772845,33.89742177,1
-118.37744693746406_33.89793052416777,-118.3774469,33.89793052,1
-118.37827803264199_33.897326826776094,-118.378278,33.89732683,1
-118.37897648234564_33.92967092155977,-118.3789765,33.92967092,1
-118.38419655848962_33.9061930655904,-118.3841966,33.90619307,1
-118.3850520686786_33.907039457765386,-118.3850521,33.90703946,1
-118.38730186263258_33.927423192641875,-118.3873019,33.92742319,1
-118.38791000766157_34.027837589059395,-118.38791,34.02783759,1
-118.39867339848003_34.028853833744755,-118.3986734,34.02885383,1
-118.40369354364675_34.029223572014494,-118.4036935,34.02922357,1
-118.4049339160122_34.02933818685401,-118.4049339,34.02933819,1
-118.41329229812304_34.031227469542586,-118.4132923,34.03122747,1
-118.41659711416422_34.033873214194074,-118.4165971,34.03387321,1
-118.41788886197506_34.03584010995975,-118.4178889,34.03584011,1
-118.41850458107103_34.036387553716985,-118.4185046,34.03638755,1
-118.41871004160828_34.03651564834668,-118.41871,34.03651565,1
-118.43643942783257_34.03508996091514,-118.4364394,34.03508996,1
-118.44183077283277_34.033936849328434,-118.4418308,34.03393685,1
-118.46279351739997_34.02895289457245,-118.4627935,34.02895289,1
-118.46361285769875_34.02894736562007,-118.4636129,34.02894737,1
-118.46995710261069_34.02773131473707,-118.4699571,34.02773131,1
-118.47461764436358_34.02595885048542,-118.4746176,34.02595885,1
-118.47794929504899_34.02422704964652,-118.4779493,34.02422705,1
-118.47802253860091_34.02415315550986,-118.4780225,34.02415316,1
-118.48319443045534_34.020934465223625,-118.4831944,34.02093447,0
-118.18937070986607_33.777799051058786,-118.1893707,33.77779905,0
