Name,Longitude,Latitude,Catenary
-73.99942158108672_40.734131217013584,-73.99942158,40.73413122,0
-74.00713156551443_40.732835218887026,-74.00713157,40.73283522,0
-74.0085845620593_40.73108522271284,-74.00858456,40.73108522,0
-74.01026255940353_40.73120122234362,-74.01026256,40.73120122,0
-74.01245755256961_40.71078926264628,-74.01245755,40.71078926,0
-74.01254583665505_40.77693876488869,-74.01254584,40.77693876,0
-74.02138053824126_40.76406115590265,-74.02138054,40.76406116,1
-74.0322975138886_40.735741212253814,-74.03229751,40.73574121,0
-74.03250551466958_40.75801316809853,-74.03250551,40.75801317,1
-74.03327066180856_40.73349845765538,-74.03327066,40.73349846,0
-74.03402351052061_40.73206321952938,-74.03402351,40.73206322,0
-74.03409070406433_40.73248424692985,-74.0340907,40.73248425,0
-74.03434450827966_40.71743624880018,-74.03434451,40.71743625,1
-74.03505150646012_40.712722258489165,-74.03505151,40.71272226,1
-74.03657992435414_40.71748949624144,-74.03657992,40.7174895,0
-74.03693162147681_40.73212872881783,-74.03693162,40.73212873,1
-74.03701150336938_40.72429823532735,-74.0370115,40.72429824,1
-74.03707750248687_40.71848724640103,-74.0370775,40.71848725,0
-74.03838576627813_40.73416901470629,-74.03838577,40.73416901,0
-74.04281514538809_40.74173564377609,-74.04281515,40.74173564,1
-74.0454574873293_40.73563821164399,-74.04545749,40.73563821,0
-74.0493092155175_40.71508743674057,-74.04930922,40.71508744,1
-74.0549516858856_40.71409942456931,-74.05495169,40.71409942,1
-74.05500946679552_40.724028234510875,-74.05500947,40.72402823,0
-74.05792545961393_40.70910526448667,-74.05792546,40.70910526,1
-74.05845669376798_40.70884040173425,-74.05845669,40.7088404,1
-74.06360844891962_40.732137217782096,-74.06360845,40.73213722,0
-74.1043043664991_40.741773197609454,-74.10430437,40.7417732,1
-74.12394532557765_40.74327619378659,-74.12394533,40.74327619,0
-74.12620906945746_40.654272756355624,-74.12620907,40.65427276,0
-74.15650725809215_40.73869020172325,-74.15650726,40.7386902,1
-74.15908425267715_40.73762320393335,-74.15908425,40.7376232,1
-74.16313824472886_40.73464120979993,-74.16313824,40.73464121,1
-74.16317724435183_40.73475120944836,-74.16317724,40.73475121,1
-74.16577905279091_40.74084762548094,-74.16577905,40.74084763,1
-74.16750427985714_40.737366222998716,-74.16750428,40.73736622,0
-74.16935301016505_40.7427188804146,-74.16935301,40.74271888,1
-74.17042760530131_40.746495362469744,-74.17042761,40.74649536,1
-74.17058432642573_40.74671048017117,-74.17058433,40.74671048,1
-74.17454322440625_40.78048811719203,-74.17454322,40.78048812,1
-74.1748692237638_40.77905812029336,-74.17486922,40.77905812,1
-74.17514722268294_40.78149111555916,-74.17514722,40.78149112,1
-74.17746121786413_40.77025913729928,-74.17746122,40.77025914,1
-74.18132220773948_40.74113619531341,-74.18132221,40.7411362,0
-74.18283514679234_40.78041047069304,-74.18283515,40.78041047,1
-74.1839772026874_40.745752186199006,-74.1839772,40.74575219,1
-75.18970415767845_39.97907266242945,-75.18970416,39.97907266,1
-74.08009306353141_40.78318998752729,-74.08009306,40.78318999,0
-74.12701133454532_40.96912974557983,-74.12701133,40.96912975,0
-74.08679261028185_40.775227813091135,-74.08679261,40.77522781,0
-74.82660188512924_40.86015194121817,-74.82660189,40.86015194,0
-74.54056347602771_40.883685902051305,-74.54056348,40.8836859,0
-74.19780718209215_40.868159944866946,-74.19780718,40.86815994,1
-74.74251106137389_40.909482844515736,-74.74251106,40.90948284,0
-74.45001966268971_40.879822913017534,-74.45001966,40.87982291,0
-74.20561816114376_40.80147707709111,-74.20561816,40.80147708,0
-74.57043240586476_40.71715223385547,-74.57043241,40.71715223,0
-74.27060802335319_40.735174207981636,-74.27060802,40.73517421,0
-74.72337810001201_40.892296880096005,-74.7233781,40.89229688,0
-74.47695460578602_40.851480968563834,-74.47695461,40.85148097,0
-74.24126808613983_40.769594140209165,-74.24126809,40.76959414,0
-74.5710377532257_40.71683493983358,-74.57103775,40.71683494,0
-74.27262701908853_40.73316821158672,-74.27262702,40.73316821,0
-74.70609313550305_40.89765386950582,-74.70609314,40.89765387,0
-74.47873260092322_40.83775699610105,-74.4787326,40.837757,0
-74.23187110523257_40.77164313593189,-74.23187111,40.77164314,1
-74.2776079979711_40.55536056725601,-74.277608,40.55536057,0
-74.15319024492084_40.41000386205474,-74.15319024,40.41000386,1
-74.02804352228097_40.73484121780656,-74.02804352,40.73484122,0
-74.65347621715215_40.33512499570357,-74.65347622,40.335125,0
-74.0840354147278_40.836978011178836,-74.08403541,40.83697801,0
-75.03314762544998_39.89022662044787,-75.03314763,39.89022662,0
-74.15385527249292_40.86879794444715,-74.15385527,40.86879794,0
-74.18461422987924_41.200727280073586,-74.18461423,41.20072728,0
-74.12162437762795_41.45586077301763,-74.12162438,41.45586077,0
-74.64101529432489_41.381158904735514,-74.64101529,41.3811589,0
-74.08013670180475_40.78369991556134,-74.0801367,40.78369992,0
-74.18456823014637_41.1918452981339,-74.18456823,41.1918453,0
-74.10723440799724_41.45254177991695,-74.10723441,41.45254178,0
-74.573389438318_41.46181674558306,-74.57338944,41.46181675,0
-74.1707702288867_40.728076225375126,-74.17077023,40.72807623,0
-74.77971035721743_40.19660327998206,-74.77971036,40.19660328,1
-74.7841782039519_40.18579467926435,-74.7841782,40.18579468,0
-74.78816202297237_40.17479889580012,-74.78816202,40.1747989,1
-74.79348946471838_40.164401897180696,-74.79348946,40.1644019,1
-74.81037395724417_40.14611238561867,-74.81037396,40.14611239,1
-74.82002817366028_40.13755811198678,-74.82002817,40.13755811,1
-74.82959463382447_40.129078545641725,-74.82959463,40.12907855,0
-74.83829148213033_40.12005718336772,-74.83829148,40.12005718,0
-74.84681310200712_40.1098235691148,-74.8468131,40.10982357,0
-74.8586302018468_40.102934672341284,-74.8586302,40.10293467,1
-74.87224667593242_40.098386142448156,-74.87224668,40.09838614,0
-74.88740737196561_40.09630243871717,-74.88740737,40.09630244,1
-74.90267469741457_40.09412006417567,-74.9026747,40.09412006,1
-74.9176405670204_40.0918409396636,-74.91764057,40.09184094,1
-74.92979557421049_40.08540165493344,-74.92979557,40.08540165,0
-74.94156374733436_40.078073141747765,-74.94156375,40.07807314,0
-74.95324434728073_40.071287759904735,-74.95324435,40.07128776,0
-74.96589666414556_40.06541614792883,-74.96589666,40.06541615,0
-74.97864586449718_40.05947423754071,-74.97864586,40.05947424,0
-74.98840282528886_40.05107335283239,-74.98840283,40.05107335,0
-75.00061581724654_40.044579004911775,-75.00061582,40.044579,0
-75.01360180614981_40.03766019785191,-75.01360181,40.0376602,1
-75.02574813679958_40.03143926859351,-75.02574814,40.03143927,0
-75.03733948829974_40.02425365655861,-75.03733949,40.02425366,1
-75.04962650875922_40.01773258745393,-75.04962651,40.01773259,0
-75.06254066819488_40.012489377899946,-75.06254067,40.01248938,0
-75.07649674139843_40.00907306250381,-75.07649674,40.00907306,1
-75.16729066708811_39.99219296941606,-75.16729067,39.99219297,0
-75.19090481920347_39.967738602794554,-75.19090482,39.9677386,1
-75.18195960582166_39.9601438080086,-75.18195961,39.96014381,0
-75.12905091361141_39.94432312816673,-75.12905091,39.94432313,0
-75.12386662301151_39.947428183864936,-75.12386662,39.94742818,0
-75.12005684674416_39.942944223081575,-75.12005685,39.94294422,0
-75.10588981491577_39.94466783396824,-75.10588981,39.94466783,0
-75.09223353684634_39.949142714045955,-75.09223354,39.94914271,0
-75.08232741575173_39.95798824364862,-75.08232742,39.95798824,0
-75.07132853609815_39.96690310392495,-75.07132854,39.9669031,0
-75.06367931452854_39.97705422526619,-75.06367931,39.97705423,0
-75.0517190132839_39.98568699656447,-75.05171901,39.985687,0
-75.04034018663542_39.99272298838861,-75.04034019,39.99272299,0
-75.02868290365059_39.99980880349019,-75.0286829,39.9998088,0
-75.01638666781786_40.00702368796921,-75.01638667,40.00702369,0
-75.00408275814907_40.01424606900836,-75.00408276,40.01424607,0
-74.99219503919485_40.02121180992624,-74.99219504,40.02121181,0
-74.9803326329808_40.028139539564805,-74.98033263,40.02813954,0
-74.9679903208757_40.03476431831436,-74.96799032,40.03476432,0
-74.95548348809547_40.04168054657802,-74.95548349,40.04168055,0
-74.94679150464052_40.050999852611405,-74.9467915,40.05099985,0
-74.93324640834419_40.05580062186482,-74.93324641,40.05580062,0
-74.91495501898412_40.06117251573422,-74.91495502,40.06117252,0
-74.89933173002869_40.06577481310005,-74.89933173,40.06577481,0
-74.88430750511186_40.070154566108904,-74.88430751,40.07015457,0
-74.86981483302807_40.074377938968766,-74.86981483,40.07437794,0
-74.85460876560636_40.07819650734052,-74.85460877,40.07819651,0
-74.84067324620857_40.08301962626247,-74.84067325,40.08301963,0
-74.82634298437826_40.08983506893258,-74.82634298,40.08983507,0
-74.81345304409409_40.095999803590495,-74.81345304,40.0959998,0
-74.80063388675512_40.102136025124665,-74.80063389,40.10213603,0
-74.78771329861303_40.10832174515619,-74.7877133,40.10832175,0
-74.77518833664186_40.11444087730139,-74.77518834,40.11444088,0
-74.76188955747638_40.1197839392707,-74.76188956,40.11978394,0
-74.74647374479969_40.12256091776634,-74.74647374,40.12256092,0
-74.73762221946762_40.13093883020805,-74.73762222,40.13093883,0
-74.73018826718379_40.14062724263157,-74.73018827,40.14062724,0
-74.71686321584636_40.14625941928652,-74.71686322,40.14625942,0
-74.71478757132795_40.157100872117695,-74.71478757,40.15710087,0
-74.71772377911013_40.169522281135585,-74.71772378,40.16952228,0
-74.7247918692985_40.17991682779945,-74.72479187,40.17991683,0
-74.73807253074125_40.18444046654229,-74.73807253,40.18444047,0
-74.75027979039164_40.18973208535964,-74.75027979,40.18973209,0
-74.75335872789147_40.20143240050176,-74.75335873,40.2014324,0
-74.75601009465039_40.21295731684537,-74.75601009,40.21295732,0
-74.02722052591851_40.758069167962766,-74.02722053,40.75806917,0
-74.17781621723348_40.77483312854086,-74.17781622,40.77483313,1
-74.16822970342291_40.743211712781935,-74.1682297,40.74321171,0
-74.03453250884024_40.727713227999985,-74.03453251,40.72771323,0
-74.00877356161881_40.73108722229013,-74.00877356,40.73108722,0
-75.15463048986197_39.95265485887244,-75.15463049,39.95265486,0
-75.02199235238422_40.12749404985462,-75.02199235,40.12749405,0
-74.44147959928382_39.363302944444975,-74.4414796,39.36330294,0
