Name,Longitude,Latitude,Catenary
Mur1brzxdKM,0,0,0
uiXKKcd-gIo,0,0,0
nhAg1KHoRU4,0,0,0
X0uh2_9YOUk,0,0,0
Kqecia7p-UU,0,0,0
fc8XKg43Dx8,0,0,0
FnviBLnjppk,0,0,0
Z9bu9dCSuA4,0,0,0
NwILIfYLyRE,0,0,0
xH6X537BOA0,0,0,0
cf_XoHuKHgc,0,0,0
YUg5CF1JyV8,0,0,0
KPsd6eaE2_Y,0,0,0
1qjCUG7SlKo,0,0,0
ep_HLfAYxXQ,0,0,0
GN1S30kN9Ig,0,0,0
WbYy2Do7Dks,0,0,0
AoedMta7hxY,0,0,0
4_OL-oTEZmA,0,0,0
xYzZnzGNTVg,0,0,0
RIwKjm3TVMU,0,0,0
sFqx-huIz1w,0,0,0
iZ7LFwfsYkk,0,0,0
N1tM4Px0QvA,0,0,0
JN3TwFKt7nI,0,0,0
jgSQkVKtf9w,0,0,0
TSvmVorAkZ8,0,0,0
XnXNWsXWG9Y,0,0,0
Mr26txdH4c,0,0,0
1mUBcA4X8js,0,0,0
6cRRZ5Is7YU,0,0,0
oNSvTtnNXEc,0,0,0
dYdQZG1nLwg,0,0,0
z9geQPiLKSU,0,0,0
WS6H8hhr5BQ,0,0,0
4dxQrMqpeLc,0,0,0
bovisSUcgM,0,0,0
Nox-42YGYDE,0,0,0
A773B5qIh1Y,0,0,0
9mdFipeQbh4,0,0,0
9jUGf4D1400,0,0,0
nbFj-irjNq4,0,0,0
peFHn8r4t1o,0,0,0
DbChPLLJ6ms,0,0,0
cCoPXaKAixA,0,0,0
gI9fSePJIuE,0,0,0
A1T8pAfwBrs,0,0,0
zjIEcnlrmW4,0,0,0
Ti1_yA6gDsY,0,0,0
qpFlFGVqLjQ,0,0,0
Pp3URK1vn84,0,0,0
dQriq2v8xxc,0,0,0
QL6-tL7in8Y,0,0,0
NyfXy0Is4YA,0,0,0
SMfln8rFErE,0,0,0
qkKlMAs4kr0,0,0,0
CJp8wVjGZ88,0,0,0
tIdiNCaYkGA,0,0,0
fi-LefHueHw,0,0,0
_qXiOlykvgg,0,0,0
t28s2Dv-O4I,0,0,0
Qex6B3UR6J0,0,0,0
Wnts0njP-n0,0,0,0
2tohSrlhEso,0,0,0
J53e8Ij53Mg,0,0,0
1qS6wnebTsM,0,0,0
RBMbcaMxuR8,0,0,0
4B91wyygM2g,0,0,0
rQXdgDwY4Gs,0,0,0
3xltAFnJlhQ,0,0,0
vmsuvvaw8Gc,0,0,0
P98SnB6vdiQ,0,0,0
1ddxkjHeBSA,0,0,0
RlOymNd4h0,0,0,0
WhLEFsFocXE,0,0,0
mngxWyG6exk,0,0,0
JP8HPBcmWO0,0,0,0
icAWt0hrs-4,0,0,0
NC2i3t8lt4Y,0,0,0
mIozL9PlpNM,0,0,0
WDqURPfH4so,0,0,0
TwG3vThQS9Y,0,0,0
toWawwGlLFw,0,0,0
O5pJux38nNA,0,0,0
AqoXaM9NSsw,0,0,0
Ogg2AVEogJ0,0,0,0
dZr-Q9ZQ1dk,0,0,0
IvuSWSv6I2U,0,0,0
ZvIr0oyfOfw,0,0,0
gPO83eCt0vs,0,0,0
kTYc-gDAc-w,0,0,0
7BVqFvkitOc,0,0,0
TiwTb5JBaQo,0,0,0
F7_L-91SWUs,0,0,0
UMUCQcDdLws,0,0,0
26OwIZkhI0U,0,0,0
Tj0KhNOw9IA,0,0,0
joMWoOwMiI0,0,0,0
cjLd-YELrYQ,0,0,0
jcobC4d0S9k,0,0,0
aMwcTpX-VSI,0,0,0
qZ8XBmrW0xI,0,0,0
RcMfDLUxTqM,0,0,0
IC6hbXf3Qzg,0,0,0
o4Zhsl6chTE,0,0,0
gOxeVA_QO8w,0,0,0
w4KWqi4xilI,0,0,0
YdG-6Z2pd0Y,0,0,0
W7fcDeaN9B0,0,0,0
Sz-gmabBoRU,0,0,0
HN_mGWcZolE,0,0,0
fmoLeqdXNzE,0,0,0
