Name,Longitude,Latitude,Catenary
-122.2688245466118_47.469195680544566,-122.2688245,47.46919568,1
-122.26892266998178_47.46699028176158,-122.2689227,47.46699028,1
-122.26915916640066_47.466252365664246,-122.2691592,47.46625237,1
-122.26961937556017_47.465774616096645,-122.2696194,47.46577462,1
-122.2697075007809_47.47314172665546,-122.2697075,47.47314173,1
-122.27028249490382_47.46542328832777,-122.2702825,47.46542329,1
-122.27035977907607_47.4746991330693,-122.2703598,47.47469913,1
-122.27107741516011_47.465236046868256,-122.2710774,47.46523605,1
-122.2720335448468_47.465219716569806,-122.2720335,47.46521972,1
-122.27291605481625_47.48176886740649,-122.2729161,47.48176887,1
-122.27293724183188_47.479459541696556,-122.2729372,47.47945954,1
-122.27298699965117_47.4827161820875,-122.272987,47.48271618,1
-122.27309473168998_47.4803218624739,-122.2730947,47.48032186,1
-122.27334338167215_47.48344844273076,-122.2733434,47.48344844,1
-122.27402691975708_47.48416495759089,-122.2740269,47.48416496,1
-122.27487072137062_47.4658061389164,-122.2748707,47.46580614,0
-122.27621363080925_47.46601709881198,-122.2762136,47.4660171,1
-122.27737158471527_47.46599304892051,-122.2773716,47.46599305,1
-122.27835635520839_47.50923078876173,-122.2783564,47.50923079,1
-122.2784482604672_47.51101171110187,-122.2784483,47.51101171,1
-122.27847666743197_47.4657869025598,-122.2784767,47.4657869,1
-122.27856364450322_47.50856678119468,-122.2785636,47.50856678,1
-122.27879705855473_47.52516031248755,-122.2787971,47.52516031,1
-122.27880976437919_47.52436286114174,-122.2788098,47.52436286,1
-122.27882271916042_47.51399030531472,-122.2788227,47.51399031,1
-122.27899996064691_47.515663100289956,-122.279,47.5156631,1
-122.27902139492998_47.508045419769196,-122.2790214,47.50804542,1
-122.2790882773003_47.52599402522609,-122.2790883,47.52599403,0
-122.27969230930182_47.50764371608784,-122.2796923,47.50764372,1
-122.27973034983573_47.46534563268166,-122.2797303,47.46534563,1
-122.27978585505721_47.51931987063324,-122.2797859,47.51931987,1
-122.27983550910797_47.520310012983295,-122.2798355,47.52031001,1
-122.28045822961936_47.48867935081881,-122.2804582,47.48867935,0
-122.28051224796026_47.507400076233885,-122.2805122,47.50740008,1
-122.28054644660456_47.52912836999684,-122.2805464,47.52912837,0
-122.28074305712809_47.53590467080397,-122.2807431,47.53590467,0
-122.28082744002279_47.464753204335864,-122.2808274,47.4647532,1
-122.2809298671533_47.53677750808404,-122.2809299,47.53677751,1
-122.28130297628267_47.489463294511864,-122.281303,47.48946329,0
-122.28181611489795_47.49027255226848,-122.2818161,47.49027255,1
-122.28234511970552_47.46382419989612,-122.2823451,47.4638242,1
-122.2825430554658_47.493828826807075,-122.2825431,47.49382883,1
-122.28288534404939_47.494890239092435,-122.2828853,47.49489024,1
-122.28341960273059_47.49558205629916,-122.2834196,47.49558206,1
-122.28342496740648_47.46344488032227,-122.283425,47.46344488,1
-122.28433230167906_47.49625890658759,-122.2843323,47.49625891,1
-122.28460363170346_47.463241793803235,-122.2846036,47.46324179,1
-122.28559327844411_47.46322876704172,-122.2855933,47.46322877,1
-122.28570272250857_47.5463945610512,-122.2857027,47.54639456,1
-122.28630234542466_47.497336778489434,-122.2863023,47.49733678,1
-122.2871791010365_47.498049391664466,-122.2871791,47.49804939,1
-122.28782733370338_47.4988666315211,-122.2878273,47.49886663,1
-122.28804182286908_47.50697183712086,-122.2880418,47.50697184,1
-122.28826297430605_47.49990566826691,-122.288263,47.49990567,1
-122.2886826905774_47.464248794560376,-122.2886827,47.46424879,0
-122.28895007514981_47.50676578699642,-122.2889501,47.50676579,1
-122.28958506973576_47.506413233808544,-122.2895851,47.50641323,1
-122.28999226515546_47.50461805067066,-122.2899923,47.50461805,1
-122.2900123107764_47.505938250087276,-122.2900123,47.50593825,1
-122.29006226708728_47.5555341471528,-122.2900623,47.55553415,0
-122.29018375501802_47.50539426241599,-122.2901838,47.50539426,1
-122.29659353040628_47.565960804439484,-122.2965935,47.5659608,0
-122.29678802624552_47.574824171003456,-122.296788,47.57482417,0
-122.29684103961345_47.568231323812334,-122.296841,47.56823132,0
-122.29686906903612_47.56671562567003,-122.2968691,47.56671563,0
-122.29692452867424_47.57553018407299,-122.2969245,47.57553018,0
-122.29831807390693_47.57740272472105,-122.2983181,47.57740272,1
-122.29886156215643_47.57775976183283,-122.2988616,47.57775976,0
-122.30173885442947_47.578333565132894,-122.3017389,47.57833357,0
-122.30322326359429_47.578678310278015,-122.3032233,47.57867831,0
-122.30742661595251_47.58002875935052,-122.3074266,47.58002876,0
-122.30852720728973_47.580144820320086,-122.3085272,47.58014482,0
-122.3096359593012_47.58007258434762,-122.309636,47.58007258,0
-122.31304748388189_47.57909181223228,-122.3130475,47.57909181,0
-122.31573453856319_47.57784885870201,-122.3157345,47.57784886,0
-122.31680973067448_47.5774674642519,-122.3168097,47.57746746,0
-122.31784882209071_47.5773228446208,-122.3178488,47.57732284,0
-122.31979081004184_47.57745561008461,-122.3197908,47.57745561,0
-122.32391898830645_47.57750089371438,-122.323919,47.57750089,1
-122.3267751433181_47.577741118886834,-122.3267751,47.57774112,1
-122.32710313415924_47.59284115327184,-122.3271031,47.59284115,0
-122.32717129829426_47.57797247395946,-122.3271713,47.57797247,1
-122.32718138564032_47.58889605805426,-122.3271814,47.58889606,1
-122.32736132057978_47.578446341116404,-122.3273613,47.57844634,1
-122.32748399512741_47.59383493277613,-122.327484,47.59383493,0
-122.32796901266866_47.59983851493675,-122.327969,47.59983851,0
-122.32800415250524_47.59757160313362,-122.3280042,47.5975716,0
-122.32807199113164_47.59659953932057,-122.328072,47.59659954,0
-122.32814325539348_47.59580570203254,-122.3281433,47.5958057,0
-122.32823338593462_47.600334327966685,-122.3282334,47.60033433,0
-122.33036010844977_47.6017891450302,-122.3303601,47.60178915,0
-122.33126611412534_47.613752939511535,-122.3312661,47.61375294,0
-122.33163495293348_47.603085774539075,-122.331635,47.60308577,0
-122.33255046906709_47.6041222697861,-122.3325505,47.60412227,0
-122.33552290813675_47.60733388540956,-122.3355229,47.60733389,0
-122.33552625617688_47.61204847321158,-122.3355263,47.61204847,0
-122.3367571852541_47.60871953604257,-122.3367572,47.60871954,0
-122.33774417142646_47.61109640235082,-122.3377442,47.6110964,0
-122.33811242520774_47.61078152096682,-122.3381124,47.61078152,0
-122.33818492821268_47.61042126234903,-122.3381849,47.61042126,0
0-122.2886826905774_47.464248794560376,-122.2886827,47.46424879,0
