Name,Longitude,Latitude,Catenary
9.379483396212201_47.565528967099404,9.379483396,47.56552897,1
9.367078340136002_47.57620856433524,9.36707834,47.57620856,1
9.347995664070325_47.583125270732666,9.347995664,47.58312527,1
9.32926653044524_47.59035302006366,9.32926653,47.59035302,1
9.311405490706957_47.598623942532434,9.311405491,47.59862394,1
9.294374223653094_47.60768598388767,9.294374224,47.60768598,1
9.277159346611123_47.61642317860488,9.277159347,47.61642318,1
9.258999465095519_47.62441760556407,9.258999465,47.62441761,1
9.239882157445264_47.63121698707649,9.239882157,47.63121699,1
9.22004854347182_47.63616775220238,9.220048543,47.63616775,1
9.20221897528228_47.64353059468786,9.202218975,47.64353059,1
9.183431399565276_47.648347680747285,9.1834314,47.64834768,1
6.9102669813572835_46.98991215438162,6.910266981,46.98991215,1
6.891289462975132_46.983418172312,6.891289463,46.98341817,0
6.870191269147446_46.98328518402019,6.870191269,46.98328518,0
6.850542263825105_46.978635935345515,6.850542264,46.97863594,0
6.830506624892951_46.97396082019852,6.830506625,46.97396082,1
6.813332761075829_46.968194446183745,6.813332761,46.96819445,1
8.521381318019369_47.385657607895716,8.521381318,47.38565761,1
8.532057633905412_47.397639974756906,8.532057634,47.39763997,0
8.54126744902161_47.41051479921049,8.541267449,47.4105148,1
8.561993295286728_47.41296526001984,8.561993295,47.41296526,1
8.583584507984954_47.41332434081265,8.583584508,47.41332434,1
8.604364317252212_47.41033998711345,8.604364317,47.41033999,1
8.619117529770884_47.41953935900058,8.61911753,47.41953936,1
8.63522618786792_47.4263852187465,8.635226188,47.42638522,1
8.656265030991369_47.42343545075265,8.656265031,47.42343545,1
8.677319303773798_47.420657516065496,8.677319304,47.42065752,1
8.68980829523923_47.43116238647946,8.689808295,47.43116239,1
8.704803914395221_47.44039355709218,8.704803914,47.44039356,1
8.706362789782348_47.454748761536656,8.70636279,47.45474876,1
8.70656902704434_47.469188726196855,8.706569027,47.46918873,0
